iso3,year,louvain_community,leiden_community,gn_community,dominant_region,community_label
SYR,2015,8,6,2,Pan-Europe,Cluster 8: Pan-Europe
THA,2015,9,5,2,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
TUN,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
YEM,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
ARM,2015,0,1,28,Pan-Europe,Cluster 0: Pan-Europe
AUS,2015,9,5,2,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
AUT,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
BGR,2015,8,6,2,Pan-Europe,Cluster 8: Pan-Europe
BOL,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
BRA,2015,5,0,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
CHE,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
CRI,2015,5,3,29,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
CUB,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
CYP,2015,0,1,30,Pan-Europe,Cluster 0: Pan-Europe
CZE,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
DNK,2015,4,6,31,Pan-Europe,Cluster 4: Pan-Europe
DZA,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
ECU,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
EST,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
GTM,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
HND,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
HRV,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
HUN,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
IRL,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
IRN,2015,1,2,2,South & Western Asia,Cluster 1: South & Western Asia
ISR,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
JPN,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
KOR,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
LAO,2015,9,5,2,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
LTU,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
MEX,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
MNE,2015,4,1,32,Pan-Europe,Cluster 4: Pan-Europe
NOR,2015,4,6,33,Pan-Europe,Cluster 4: Pan-Europe
NZL,2015,9,5,2,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
PAN,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
POL,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
PRI,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
PRK,2015,5,3,34,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
PRY,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
ROU,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
RUS,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
SEN,2015,6,0,2,Latin America & Sub-Saharan Africa,Cluster 6: Latin America & Sub-Saharan Africa
SLV,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
SRB,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
SVK,2015,4,1,2,Pan-Europe,Cluster 4: Pan-Europe
SVN,2015,4,1,35,Pan-Europe,Cluster 4: Pan-Europe
SWE,2015,8,6,2,Pan-Europe,Cluster 8: Pan-Europe
TWN,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
UKR,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
AZE,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
GEO,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
IRQ,2015,8,6,2,Pan-Europe,Cluster 8: Pan-Europe
KAZ,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
TKM,2015,0,1,2,Pan-Europe,Cluster 0: Pan-Europe
ASM,2015,9,5,36,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
FJI,2015,9,5,37,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
TKL,2015,9,5,38,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
TON,2015,9,5,39,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
VNM,2015,5,3,2,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
WSM,2015,9,5,40,Polynesia & South-Eastern Asia,Cluster 9: Polynesia & South-Eastern Asia
ATG,2015,5,3,41,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
BHS,2015,3,0,42,Caribbean,Cluster 3: Caribbean
BLZ,2015,5,3,43,Latin America & Caribbean,Cluster 5: Latin America & Caribbean
BMU,2015,4,3,44,Pan-Europe,Cluster 4: Pan-Europe
BRB,2015,1,2,45,South & Western Asia,Cluster 1: South & Western Asia
GHA,2015,2,7,14,Sub-Saharan Africa,Cluster 2: Sub-Saharan Africa
